,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Artist_Popularity,main_genre
0,1960,Percy Faith,Theme from A Summer Place,0.466,0.389,5,-12.825,1,0.0253,0.631,0.843,0.295,0.749,92.631,144893,4,52,50,
1,1960,Jim Reeves,Hell Have to Go,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3,58,58,jazz
2,1960,The Everly Brothers,Cathys Clown,0.498,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.809,144013,4,51,61,
3,1960,Johnny Preston,Running Bear,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,158200,4,39,34,
4,1960,Mark Dinning,Teen Angel,0.57,0.0636,0,-18.548,1,0.0459,0.936,0.0,0.122,0.282,101.517,159893,4,22,22,
5,1960,Brenda Lee,Im Sorry,0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,161547,3,56,67,rock
6,1960,Elvis Presley,Its Now or Never,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194600,4,57,79,swing
7,1960,Jimmy Jones,Handy Man,0.452,0.644,10,-9.061,1,0.049,0.376,0.0,0.196,0.854,144.995,125160,4,28,42,
8,1960,Elvis Presley,Stuck on You,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,139640,4,59,79,swing
9,1960,Chubby Checker,The Twist,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,153760,4,58,54,blues
10,1960,Connie Francis,Everybodys Somebodys Fool,0.582,0.591,1,-9.623,1,0.028,0.746,1.44e-06,0.169,0.847,84.201,157600,4,47,55,rock
11,1960,Bobby Rydell,Wild One,0.599,0.775,7,-4.566,1,0.0466,0.709,0.0,0.0804,0.89,148.507,141093,4,27,45,rock
12,1960,The Brothers Four,Greenfields,0.485,0.182,11,-18.083,0,0.0434,0.852,0.0,0.112,0.357,110.608,183360,1,45,48,
13,1960,Jack Scott,What in the Worlds Come Over You,0.506,0.176,4,-13.962,1,0.0303,0.802,3.93e-06,0.0978,0.492,76.273,173267,4,29,32,
14,1960,Marty Robbins,El Paso,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,259307,3,61,61,0
15,1960,The Hollywood Argyles,Alley Oop,0.65,0.352,2,-10.304,1,0.052,0.798,4.1e-06,0.114,0.888,64.596,160705,4,4,4,
16,1960,Connie Francis,My Heart Has a Mind of Its Own,0.338,0.551,6,-5.995,1,0.0465,0.805,0.0,0.316,0.66,108.045,152267,4,20,55,rock
17,1960,Brenda Lee,Sweet Nothins,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235,144600,4,54,67,rock
18,1960,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,0.795,0.4,2,-13.01,1,0.0749,0.682,0.0,0.0326,0.968,122.174,144493,4,50,47,
19,1960,Roy Orbison,Only the Lonely,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,145533,4,58,68,swing
20,1960,Dion and the Belmonts,Where or When,0.444,0.267,8,-11.644,1,0.0282,0.796,0.0,0.127,0.455,110.661,157800,3,35,52,
21,1960,Connie Stevens,Sixteen Reasons,0.339,0.406,10,-8.955,1,0.0319,0.865,1.1e-05,0.11,0.619,109.783,118133,3,30,23,
22,1960,Paul Anka,Puppy Love,0.431,0.321,7,-11.827,1,0.0289,0.667,0.0,0.192,0.518,103.164,162373,3,40,63,swing
23,1960,Frankie Avalon,Why,0.479,0.286,5,-10.318,1,0.0269,0.853,0.0,0.084,0.599,94.05,158533,4,29,45,
24,1960,The Ventures,"Walk, Dont Run",0.492,0.634,5,-13.247,1,0.0297,0.842,0.923,0.126,0.949,156.104,122933,4,41,49,
25,1960,The Drifters,Save the Last Dance for Me,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,4,60,62,
26,1960,Dinah Washington & Brook Benton,Baby (Youve Got What It Takes),0.668,0.631,3,-8.58,1,0.056,0.85,0.00141,0.652,0.797,133.476,165093,4,10,11,
27,1960,Johnny Horton,Sink the Bismarck,0.68,0.57,3,-12.388,1,0.0958,0.652,1.18e-05,0.0565,0.966,115.894,194640,4,39,50,rock
28,1960,Sam Cooke,Chain Gang,0.698,0.661,7,-9.674,1,0.0416,0.636,0.0,0.228,0.824,131.808,160000,4,54,70,jazz
29,1960,The Everly Brothers,Let It Be Me,0.471,0.19,7,-16.046,1,0.028,0.77,0.00385,0.129,0.305,72.764,146733,4,45,61,
30,1960,Jimmy Jones,Good Timin,0.568,0.459,3,-10.086,1,0.0391,0.596,1.74e-05,0.0744,0.967,147.424,129773,4,22,42,
31,1960,Bobby Darin,Beyond the Sea,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4,63,61,0
32,1960,Jimmy Clanton,Go Jimmy Go,0.684,0.374,0,-12.037,1,0.0358,0.435,0.0,0.131,0.846,142.815,126427,4,11,27,rock
33,1960,Jackie Wilson,Night,0.284,0.498,0,-5.534,0,0.0296,0.918,0.00097,0.361,0.327,99.075,169653,4,20,62,jazz
34,1960,Jack Scott,Burning Bridges,0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.233,82.613,161733,4,22,32,
35,1960,Toni Fisher,The Big Hurt,0.511,0.524,1,-14.652,1,0.0395,0.875,0.0,0.122,0.284,127.444,129106,4,15,11,
36,1960,Duane Eddy,Because Theyre Young,0.528,0.842,4,-2.774,1,0.0426,0.548,0.988,0.0868,0.883,122.087,121548,4,10,44,
37,1960,Conway Twitty,Lonely Blue Boy,0.669,0.316,5,-14.125,1,0.0435,0.702,0.000132,0.131,0.601,112.725,133067,3,28,60,
38,1960,Steve Lawrence,Pretty Blue Eyes,0.526,0.518,5,-10.198,1,0.0306,0.558,0.0,0.344,0.837,127.998,112453,4,28,35,rock
39,1960,Freddy Cannon,Way Down Yonder in New Orleans,0.278,0.822,8,-5.932,1,0.0609,0.531,0.0,0.203,0.831,142.677,151600,4,23,33,
41,1960,Larry Verne,Mr. Custer,0.697,0.697,4,-4.863,0,0.0537,0.707,8.72e-05,0.156,0.582,108.5,184867,4,12,13,
